1,2,3,4,5,6,7,8,9,10,11,12
0.677702219,0.622923109,0.643615511,0.50600572,0.57270877,0.563909284,1,1.11118698,0.741210385,0.575972406,0.471690222,9.114990799
1.301354845,1.06740968,0.928873475,1.070053997,0.672177241,1.224777768,1,1.29647609,0.900858861,1.631193125,2.287625036,7.516177826
1.086255438,0.919852853,1.010010296,1.509662022,1.304464425,1.506615211,1,1.373762492,1.000532479,1.221977397,0.561489753,0.103898822
0.317025194,0.457911277,0.563404113,0.328567252,0.532136991,0.499052327,1,0.619060623,1.169802518,0.368864946,0.44970524,0.00428725
0.513158497,0.81177004,0.735392312,0.863453625,1.086533458,1.190415321,1,0.600034185,0.947937601,0.412014667,0.44487243,0.056006155
2.537006824,1.908137321,1.694180982,2.73450102,2.221927279,2.522296715,1,1.867154875,2.451017865,0.740760769,2.883411215,0.106240681
0.521377923,0.752814854,0.560856657,0.441690467,0.890884062,0.697022919,1,0.825511146,1.118658746,0.474947713,0.658968131,0.05482194
2.430106261,3.245640027,3.44609148,1.114140827,2.218043408,1.240930227,1,0.107919435,1.623385913,0.416139632,6.584475846,1.497757648
0.537073484,0.691428511,0.664649662,0.703359709,0.645160313,0.934758118,1,1.077172721,0.83487667,0.475155818,1.536199516,0.686240035
0.369969283,0.361787383,0.325504186,0.482259512,0.527858298,0.520607139,1,0.854763139,0.505223972,1.720603407,2.79340276,0.29407605
0.265979212,0.110823674,0.073838241,0.234897066,0.134761809,0.155002351,1,0.032589536,0.963472905,1.067548489,0.378662537,0.5730942
0.635018444,0.6559001,0.686438321,0.756760451,1.233030597,0.963189787,1,0.819491335,0.890921361,0.988127149,1.11378873,7.751337123
0.44515029,0.659283555,0.662263384,0.686439082,1.25023093,0.912547145,1,0.712281093,1.095766953,1.032247983,2.06958227,6.846065996
0.508198985,0.389315854,0.529521438,0.587987993,0.719003451,0.71725449,1,0.832163318,0.82336156,1.436299486,1.762934165,0.353083718
0.483424133,0.399886366,0.486406698,0.674109845,0.78517416,0.68444333,1,1.029155227,0.788599117,1.513772706,2.275153052,0.568912309
0.48658994,0.37081307,0.402833899,0.517563434,0.413896685,0.639413452,1,0.99150407,0.787307431,1.25641546,1.408147636,0.147775315
0.313703906,0.363888913,0.397693255,0.322291624,0.43297439,0.491821599,1,0.678892758,1.117248417,1.072297779,0.346396822,0.294618147
0.519686108,1.384145878,1.856596109,0.569463232,1.821541166,0.781101535,1,0.580291459,1.264618299,0.231644543,2.666720457,0.242131083
0.657745054,0.358634951,0.349617668,0.558902138,1.136272293,0.712568691,1,0.252355354,0.717414097,0.825183912,0.648785553,0.107871316
0.409631169,0.589686471,0.683565268,0.347338347,0.733979462,0.61420706,1,0.645759828,1.088639282,0.244752008,0.938632683,0.140288845
0.891243404,0.763979589,0.779442228,0.899712892,1.073251806,1.10280369,1,0.964018408,0.938733142,1.411711806,1.507519433,0.156553558
0.807445841,0.591855133,0.698595377,0.85358019,0.927854568,0.863130735,1,1.39474328,1.692351211,2.565515248,3.58611959,0.48544414
3.049334464,3.638495433,3.389404918,3.365326779,3.40226284,4.268597108,1,1.495057115,4.177691613,4.095684541,0.628233857,55.95294647
0.928551865,0.763001078,0.775734032,1.116097915,1.214942132,1.291100227,1,1.029129547,0.798335461,0.993601048,0.952998336,7.938927933
0.841921366,0.481454044,0.51013076,0.70035709,0.72255264,0.758586183,1,1.126010749,0.812218616,1.490160369,0.374193551,0.32455867
1.249840851,1.019753176,1.45921453,1.317972803,1.26009683,1.133748781,1,1.31072461,1.657718453,1.243706098,2.774384224,1.0196685
0.685650083,1.239121796,0.932196499,0.782112258,1.278653709,1.074665741,1,1.128097372,2.077572755,1.41535367,0.085307808,0.014183832
0.428219797,0.376465092,0.239229631,0.905875443,0.274819561,0.621874342,1,0.693710968,1.065865945,2.674964231,8.060328292,1.340162738
0.85290585,0.792653912,0.68454344,0.85574781,0.687612463,0.857995508,1,1.161824856,1.013769735,1.455599641,1.135649469,0.252864638
0.707173638,0.897557332,0.74224738,0.675446122,0.975046954,0.730739956,1,1.205277711,0.732179862,0.442630448,1.066568481,0.018517976
