"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"60","Nrip1",1.3102655545,0.81649164445,6.95650305048768,2.45161525686015e-06,0.000210838912089973,4.92072624913181
"5","Cops2",0.978225640583333,0.87746850795,5.44344878642929,4.54060807012337e-05,0.00136516508276858,1.99278892340623
"48","Nr1i2",-1.56529616666667,0.93819626515,-5.41997219810188,4.7622037770997e-05,0.00136516508276858,1.94503001723924
"7","Ddx5",0.870217965,0.7949940488,4.91542745372309,0.000134681766343148,0.00289565797637769,0.904348898806146
"69","Rara",1.01106071925,1.1175883179,4.5703998330805,0.000278450173138417,0.00478934297798076,0.179438431101309
"66","Ppargc1b",-2.13122764533333,0.7531091946,-4.3765546239199,0.000420661280950808,0.00602947836029491,-0.2312264644996
"15","Hdac4",-1.10281907075,0.71669223335,-4.2950793738809,0.000500724668585307,0.00615176021404806,-0.404347810702689
"58","Nr5a1",-3.94167094991667,0.9404432585,-4.12075459747448,0.00072791402973222,0.00767034408111829,-0.775421127022645
"50","Nr2c1",0.500279953166667,0.40821087335,4.01602494171556,0.000912029751237674,0.00767034408111829,-0.998575548113637
"28","Med24",-3.77614540066667,0.96058925405,-3.95754257069459,0.00103460298708253,0.00767034408111829,-1.12319127475264
"31","Ncoa1",0.603247078,0.8242558683,3.95582427770453,0.00103844507116564,0.00767034408111829,-1.1268523033736
"41","Nr0b1",-1.55458415641667,0.43330729755,-3.93515048801414,0.00108581291764227,0.00767034408111829,-1.17089781236372
"75","Rxrb",5.04639628233333,3.24340437655,3.90473950058541,0.00115947061691323,0.00767034408111829,-1.23567814437599
"30","Mta1",0.767494648916667,0.92962105605,3.62184779681516,0.00213652372518353,0.0131243600261274,-1.83693793344835
"10","Esrra",-1.25952931758333,0.6510218103,-3.56812616623477,0.00239947115593394,0.0132055764267236,-1.95066191042103
"22","Med1",-1.65233027258333,1.0301880285,-3.55718550927589,0.00245685142822764,0.0132055764267236,-1.97379730167053
"56","Nr3c2",1.86515496775,1.6111396642,3.52615972924505,0.00262710991752246,0.0132900854651136,-2.03935529896511
"68","Psmc5",1.28138418975,1.3986460981,3.44368403535644,0.00313891353591009,0.0149970313382371,-2.213231932954
"27","Med17",1.10004937933333,1.1604754054,3.37838681513572,0.00361331463197692,0.0163550030710534,-2.35042795044056
"13","Hdac2",-2.74720286083333,1.2189747431,-3.22664909835449,0.00500709524709646,0.0215305095625148,-2.66731801372243
"42","Nr0b2",-1.47418463025,0.59364653155,-3.05136589974423,0.00728346825648201,0.0298275366694025,-3.02919651321916
"2","Ar",-2.6620937155,1.3091669173,-2.9976298930068,0.00816536400260006,0.0312691610576527,-3.13905370392877
"51","Nr2c2",0.54912381475,0.59694716645,2.98638439761578,0.008362682608442,0.0312691610576527,-3.16197227366154
"70","Rarb",-3.23949924241667,1.258651064,-2.93740040856714,0.00927769580423213,0.0329948053755656,-3.26149928729501
"55","Nr3c1",0.7485751225,0.91278906145,2.91979953374649,0.00962967982398866,0.0329948053755656,-3.29713669638392
"20","Kat2b",0.63652131875,0.68882145855,2.90312049668632,0.00997517371819426,0.0329948053755656,-3.33084474933824
"14","Hdac3",-0.687075617416667,0.7709501069,-2.83833228074886,0.0114348080213998,0.0364219811051994,-3.4611767469076
"49","Nr1i3",-0.768762791666667,0.5882709777,-2.75621673241154,0.0135834851981831,0.0404181353891817,-3.62489435916937
"47","Nr1h4",-3.5841174765,1.83270201125,-2.75460339374727,0.0136293712358868,0.0404181353891817,-3.62809353192697
"16","Hdac5",-0.57046057875,0.5758774629,-2.56194747100146,0.0203195929544232,0.057723936046403,-4.00479078498769
"36","Ncor1",-2.95528839533333,1.29134202725,-2.53585065284461,0.0214370894633528,0.057723936046403,-4.05494111974694
"46","Nr1h3",-0.604383272166667,0.683919593,-2.53490465985267,0.0214786738777314,0.057723936046403,-4.05675482050753
"33","Ncoa3",1.01917560708333,1.27396533915,2.49132444162725,0.0234794721584564,0.0611889274432499,-4.13998169873553
"59","Nr6a1",-1.21009696516667,0.72692321685,-2.46791480851313,0.0246257734594761,0.062051816876101,-4.18441798095687
"4","Brd8",0.375842763,0.5380580469,2.45552511521804,0.0252536464030644,0.062051816876101,-4.20785789533798
"12","Hdac1",-2.52623726033333,1.2036863603,-2.43382174959911,0.026390040610448,0.0630428747916257,-4.2487853696757
"85","Gusb",-0.972699872833334,1.08196456955,-2.40575585312206,0.0279310413067905,0.0644526609817894,-4.3014555303141
"24","Med13",-2.58671692508333,1.17528490515,-2.39612439665226,0.0284790827593953,0.0644526609817894,-4.31946289172337
"1","Ahr",-2.98031278708333,0.9710972032,-2.26101673940821,0.0373079703393832,0.0822688576714604,-4.56823550092685
"57","Nr4a1",1.31004927041667,1.7875968663,2.09187137721569,0.051930391419284,0.110029962664541,-4.86867729727999
"84","Gapdh",0.542829089083333,1.17755464625,2.08664609018202,0.0524561449912347,0.110029962664541,-4.87774731556851
"82","Actb",-4.13877705266667,2.0734126938,-2.01996636694,0.0596038818370729,0.122046043761626,-4.99230842205837
"78","Thra",-0.398765429583333,0.62493931275,-1.92776185428877,0.0709380693142175,0.141876138628435,-5.14696812354198
"23","Med12",-16.0185546594167,5.7521547788,-1.88957575030155,0.0761718436705453,0.148881330810611,-5.20968338036463
"74","Rxra",-0.502685929583334,0.85480950255,-1.84367349611617,0.0829155694030232,0.158460865970222,-5.2839932638621
"40","Notch2",2.03831022833333,2.89115876925,1.80962896303083,0.0882527852099861,0.164994337566496,-5.33832683136223
