"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"43","Nr1d1",-0.738338389666667,0.42925180515,-6.81795945564859,3.16185039295888e-06,0.000271919133794464,4.6762232063404
"60","Nrip1",-1.002924857,0.81649164445,-4.98085704887067,0.000117507034247379,0.00485214426150397,1.05572506855272
"31","Ncoa1",-0.783545013666667,0.8242558683,-4.80628746222958,0.000169260846331534,0.00485214426150397,0.691385787685296
"69","Rara",-0.988155005,1.1175883179,-4.17836195469543,0.00064314191323899,0.0133859325850396,-0.63618300806093
"48","Nr1i2",1.24205304966667,0.93819626515,4.02295068793331,0.00089851842203053,0.0133859325850396,-0.967008941747903
"4","Brd8",-0.655335235,0.5380580469,-4.00502963394688,0.000933902273374857,0.0133859325850396,-1.00516721559803
"44","Nr1d2",-0.654362497666667,0.68581184055,-3.86757395071424,0.00125634566044553,0.0143236950578423,-1.29775739011411
"50","Nr2c1",-0.511426503666667,0.40821087335,-3.84034780147674,0.00133243674956672,0.0143236950578423,-1.35567338540889
"7","Ddx5",-0.585144036,0.7949940488,-3.09171928869971,0.00668307730918796,0.0587486334885347,-2.92813051542028
"28","Med24",3.10529278266667,0.96058925405,3.04427209757412,0.00739432773569856,0.0587486334885347,-3.02545554527679
"58","Nr5a1",3.10529278266667,0.9404432585,3.03670752500943,0.00751436009737071,0.0587486334885347,-3.04093394847452
"66","Ppargc1b",1.55129704033333,0.7531091946,2.97989871358831,0.00847858747935473,0.0607632102687089,-3.15682098930507
"2","Ar",2.745887012,1.3091669173,2.89228683116431,0.0102059960655033,0.0675165893564063,-3.33423875559612
"5","Cops2",-0.545026178,0.87746850795,-2.83698139705781,0.011467341379397,0.0704422399020099,-3.44534887388998
"53","Nr2f2",-1.117756604,1.4023349696,-2.72268644124071,0.0145683899666223,0.0835254358086348,-3.67256900314191
"51","Nr2c2",-0.524531627666667,0.59694716645,-2.66840125073918,0.0163098435166931,0.0876654089022257,-3.77925734554735
"13","Hdac2",2.379949401,1.2189747431,2.61476557288473,0.0182250967811405,0.0921975484222401,-3.88382704217949
"27","Med17",-0.896941605666667,1.1604754054,-2.57670908914816,0.0197122295025428,0.0941806520677044,-3.9574896754101
"42","Nr0b2",1.23242793266667,0.59364653155,2.38620619560883,0.0290539787830179,0.131507482912607,-4.31893210611858
"70","Rarb",2.69031095766667,1.258651064,2.28187460573248,0.0357961601326573,0.153923488570426,-4.51117167055721
"41","Nr0b1",0.952648733,0.43330729755,2.25571344815027,0.0377016993434227,0.154397435406398,-4.55868101797481
"10","Esrra",0.816031702000001,0.6510218103,2.16243458637184,0.0452866378299872,0.160896635953549,-4.72566711681828
"36","Ncor1",2.69111958133333,1.29134202725,2.16003519198769,0.0454991034677732,0.160896635953549,-4.72991115975406
"12","Hdac1",2.38094676866667,1.2036863603,2.14569675208224,0.0467879625651114,0.160896635953549,-4.75521776309427
"52","Nr2f1",-0.372603941666667,0.4245838062,-2.13100929766968,0.0481428394349654,0.160896635953549,-4.78104151894148
"65","Ppargc1a",-0.770784742333333,0.9160967426,-2.12568110296086,0.0486431690092125,0.160896635953549,-4.79038470635838
"47","Nr1h4",2.90597602066667,1.83270201125,2.08916573838529,0.0522020223417974,0.164430489016922,-4.8540532285682
"30","Mta1",-0.469913556,0.92962105605,-2.07432518231299,0.0537150951711706,0.164430489016922,-4.87974593510816
"24","Med13",2.35268743633333,1.17528490515,2.03858449213531,0.0575241201653162,0.164430489016922,-4.94117743202392
"3","Arnt",-0.495642999666667,0.92513399645,-2.02190265879594,0.0593844589867725,0.164430489016922,-4.96963174318661
