"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"56","Nr3c2",1.21448012675,1.6111396642,2.47999535455033,0.0240277792981034,0.999202151277182,-4.36353220743413
"69","Rara",0.46371528525,1.1175883179,2.26413210864491,0.0370784599495341,0.999202151277182,-4.40197308146235
"37","Ncor2",0.471844854,1.03922610115,1.95991633175949,0.0667828201080317,0.999202151277182,-4.45532264763685
"60","Nrip1",0.30193116025,0.81649164445,1.73146208757885,0.101661837431369,0.999202151277182,-4.49389345080378
"20","Kat2b",0.33445718275,0.68882145855,1.6476540498171,0.117969635737017,0.999202151277182,-4.50755277666402
"75","Rxrb",1.7273113805,3.24340437655,1.44362616001422,0.167205479162677,0.999202151277182,-4.53936237504941
"81","Vdr",0.89187656675,1.322108531,1.44349443670417,0.167242055236636,0.999202151277182,-4.53938216023591
"78","Thra",0.273156831,0.62493931275,1.42633435270914,0.172063280794732,0.999202151277182,-4.54195058103885
"9","Esr2",0.25855942475,0.6040463713,1.34467833017522,0.196576899353702,0.999202151277182,-4.55391627006774
"7","Ddx5",0.20545729875,0.7949940488,1.25351118873729,0.227158327419273,0.999202151277182,-4.5667399889649
"40","Notch2",1.2952916155,2.89115876925,1.24211041649119,0.23123067194793,0.999202151277182,-4.56830132209509
"57","Nr4a1",0.70335774725,1.7875968663,1.21310116057492,0.241847643637297,0.999202151277182,-4.57222988520702
"79","Thrb",0.26558583475,0.7762254654,1.19508124055566,0.248628786869772,0.999202151277182,-4.57463765265686
"38","Nfkb2",0.545371459,1.23738161875,1.1828905890055,0.253297948880137,0.999202151277182,-4.57625212048423
"63","Ppard",0.22620715825,0.67070720295,1.18230587896971,0.25352356360426,0.999202151277182,-4.57632926153141
"61","Pgr",0.16758279925,0.4679034375,1.08689123624838,0.292410569376823,0.999202151277182,-4.58854414086218
"55","Nr3c1",0.25069209025,0.91278906145,1.05616475608464,0.305822469922556,0.999202151277182,-4.59231413439168
"26","Med16",0.34645591125,1.3173525261,0.997301497096645,0.332745421193219,0.999202151277182,-4.59930274548277
