"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"43","Nr1d1",-0.862907185666667,0.42925180515,-7.96825180459497,4.13597394739939e-07,3.55693759476348e-05,6.64091127313673
"60","Nrip1",-0.948198709,0.81649164445,-4.70906887040363,0.000207677639930985,0.00893013851703236,0.362871667410093
"84","Gapdh",1.105774211,1.17755464625,3.97608964028382,0.000994031782764531,0.0274426773809139,-1.20040124682922
"4","Brd8",-0.631643513666667,0.5380580469,-3.86023954644424,0.00127640359911227,0.0274426773809139,-1.44827825087413
"9","Esr2",-0.811613915,0.6040463713,-3.65542728622752,0.00198697516920497,0.0341759729103254,-1.8854796591126
"7","Ddx5",-0.658008592,0.7949940488,-3.47671296442392,0.00292303110482105,0.0418967791691017,-2.26495657440177
"52","Nr2f1",-0.53690588,0.4245838062,-3.07069060283073,0.00698964326829857,0.0858727601533824,-3.11410382632097
"78","Thra",-0.622395500666667,0.62493931275,-2.81453304908598,0.0120212401243424,0.118167650738746,-3.63520419575336
"20","Kat2b",-0.649771422,0.68882145855,-2.7721500957036,0.0131382282062473,0.118167650738746,-3.71995678208568
"31","Ncoa1",-0.447252311666667,0.8242558683,-2.74345843636647,0.0139504503296454,0.118167650738746,-3.77706385641205
"11","Esrrg",-0.551178764,0.41905324785,-2.70502278418544,0.0151144669549558,0.118167650738746,-3.85321339930476
"79","Thrb",-0.671337632666666,0.7762254654,-2.61615906438677,0.0181727265948775,0.129961320581793,-4.02764327855153
"17","Hdac6",-0.527871318333333,0.5638648671,-2.57836176012756,0.019645315901899,0.129961320581793,-4.10110627911295
"61","Pgr",-0.443040282,0.4679034375,-2.48845901938915,0.0236170248223314,0.136319961948759,-4.2739652844755
"44","Nr1d2",-0.420467739,0.68581184055,-2.48515170149695,0.0237767375492022,0.136319961948759,-4.28027186631094
"46","Nr1h3",-0.610993075333333,0.683919593,-2.39711852874038,0.0284220516222757,0.141782589951704,-4.44669063430961
"64","Pparg",-0.398784980666667,0.5877847535,-2.37925219059549,0.0294635314613803,0.141782589951704,-4.48011335555365
"54","Nr2f6",-0.417380854333333,0.7171941288,-2.37568982266958,0.0296754258038449,0.141782589951704,-4.48676284756277
"77","Tgs1",-0.523234169333333,0.81221741025,-2.34139701467182,0.0317894836497007,0.143889241782856,-4.55052019645862
"16","Hdac5",-0.543403067666667,0.5758774629,-2.28281488163331,0.0357293671511987,0.153636278750154,-4.65834487983955
"86","Hsp90ab1",-0.518405777333333,0.69668673715,-2.17638443172422,0.0440693408144001,0.176794007778009,-4.85051454209291
"65","Ppargc1a",-0.784359235666666,0.9160967426,-2.16311703335251,0.0452263740827466,0.176794007778009,-4.87411690176139
"49","Nr1i3",-0.627290274666667,0.5882709777,-2.10374739216152,0.0507532899424552,0.18977317108918,-4.97872959642097
"53","Nr2f2",-0.805259848666667,1.4023349696,-1.96149149447591,0.0665849922614264,0.234470941247377,-5.22234273536337
"51","Nr2c2",-0.383130467,0.59694716645,-1.94906420016444,0.0681601573393537,0.234470941247377,-5.24312703038464
"50","Nr2c1",-0.251446207666667,0.40821087335,-1.88813228074649,0.0763762598810336,0.238235295586665,-5.34381809285845
"72","Rbpj",-0.329858439333333,0.53975169435,-1.88639942982948,0.0766223008289312,0.238235295586665,-5.34665161860196
"48","Nr1i2",-0.580374585,0.93819626515,-1.87980564647489,0.0775649799584491,0.238235295586665,-5.35741822638039
"27","Med17",-0.625841442,1.1604754054,-1.79790002133795,0.09016032331202,0.267371993270128,-5.48908007299384
"74","Rxra",-0.513185268666666,0.85480950255,-1.76061943204232,0.0964655882824622,0.276534686409725,-5.54769984087626
"15","Hdac4",-0.468815093,0.71669223335,-1.70793971686455,0.106029338579229,0.285968701062307,-5.6290869538026
"25","Med14",-0.423651669333333,0.6862332116,-1.70594556995252,0.106406958534812,0.285968701062307,-5.63213389696208
"22","Med1",-0.746383002333333,1.0301880285,-1.50305690053596,0.151360924057768,0.39445574148388,-5.92854108299771
"41","Nr0b1",-0.60818131,0.43330729755,-1.44007199333634,0.168194677445753,0.425433595892199,-6.01480107105483
"55","Nr3c1",-0.376956547666667,0.91278906145,-1.37534914775701,0.187059424350761,0.459631728404726,-6.1004305582375
"69","Rara",-0.301463297666667,1.1175883179,-1.27472184761886,0.219730641413636,0.520983874370248,-6.22727072417526
"59","Nr6a1",-0.660142478,0.72692321685,-1.25936522747727,0.225089053256707,0.520983874370248,-6.24593487245938
"81","Vdr",-0.870979000666667,1.322108531,-1.22081168371529,0.238989791253444,0.520983874370248,-6.2919647360665
